                ebox  |                root  |               Electronics box  |                             0*mm 0*mm -1396.73*mm  |                   180*deg 180*deg 0*deg  | 339999   |                Tube  |                        248.5*mm 510*mm 115*mm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
            crate_01  |                ebox  |                     MVT Crate  |                          370.890*mm 0.000*mm 0*mm  |                      0*deg 0*deg -0*deg  | aaaaaa   |                 Box  |                               120.64*mm 131.75*mm 114.62*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      patch_panel_01  |                ebox  |     Patch panel for MVT crate  |                       370.89*mm -174.9*mm 74.6*mm  |                      0*deg 0*deg -0*deg  | 999999   |                 Box  |                                           90*mm 20*mm 15*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            crate_02  |                ebox  |                     MVT Crate  |                        185.445*mm 321.200*mm 0*mm  |                     0*deg 0*deg -60*deg  | aaaaaa   |                 Box  |                               120.64*mm 131.75*mm 114.62*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      patch_panel_02  |                ebox  |     Patch panel for MVT crate  |             336.912843121898*mm 233.75*mm 74.6*mm  |                     0*deg 0*deg -60*deg  | 999999   |                 Box  |                                           90*mm 20*mm 15*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            crate_03  |                ebox  |                     MVT Crate  |                       -185.445*mm 321.200*mm 0*mm  |                    0*deg 0*deg -120*deg  | aaaaaa   |                 Box  |                               120.64*mm 131.75*mm 114.62*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      patch_panel_03  |                ebox  |     Patch panel for MVT crate  |            -33.9771568781017*mm 408.65*mm 74.6*mm  |                    0*deg 0*deg -120*deg  | 999999   |                 Box  |                                           90*mm 20*mm 15*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            crate_04  |                ebox  |                     MVT Crate  |                         -370.890*mm 0.000*mm 0*mm  |                    0*deg 0*deg -180*deg  | aaaaaa   |                 Box  |                               120.64*mm 131.75*mm 114.62*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      patch_panel_04  |                ebox  |     Patch panel for MVT crate  |                       -370.89*mm 174.9*mm 74.6*mm  |                    0*deg 0*deg -180*deg  | 999999   |                 Box  |                                           90*mm 20*mm 15*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            crate_05  |                ebox  |                     MVT Crate  |                      -185.445*mm -321.200*mm 0*mm  |                    0*deg 0*deg -240*deg  | aaaaaa   |                 Box  |                               120.64*mm 131.75*mm 114.62*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      patch_panel_05  |                ebox  |     Patch panel for MVT crate  |           -336.912843121898*mm -233.75*mm 74.6*mm  |                    0*deg 0*deg -240*deg  | 999999   |                 Box  |                                           90*mm 20*mm 15*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            crate_06  |                ebox  |                     MVT Crate  |                       185.445*mm -321.200*mm 0*mm  |                    0*deg 0*deg -300*deg  | aaaaaa   |                 Box  |                               120.64*mm 131.75*mm 114.62*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      patch_panel_06  |                ebox  |     Patch panel for MVT crate  |            33.9771568781017*mm -408.65*mm 74.6*mm  |                    0*deg 0*deg -300*deg  | 999999   |                 Box  |                                           90*mm 20*mm 15*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           inside_01  |            crate_01  |               Inside of crate  |                               2.5*mm 0*mm 0.05*mm  |                       0*deg 0*deg 0*deg  | eeeeee   |                 Box  |                               116.89*mm 130.25*mm 110.92*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          Lplate_101  |           inside_01  |                Left plate 101  |             -109.68*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Rplate_101  |           inside_01  |               Right plate 101  |              -88.68*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          eboard_101  |           inside_01  |         Electronics board 101  |              -95.18*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 9AB973   |                 Box  |                                       1*mm 116.75*mm 110*mm  |                 G10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Lplate_102  |           inside_01  |                Left plate 102  |              -84.26*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Rplate_102  |           inside_01  |               Right plate 102  |              -63.26*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
